0, 0, 255
65, 123, 217
129, 167, 227
10, 500, 0, 20, 500, 10, 20, 500, 0
20, 500, 0, 30, 500, 10, 30, 500, 0
30, 500, 0, 40, 500, 10, 40, 500, 0
40, 500, 0, 50, 500, 10, 50, 500, 0
50, 500, 0, 60, 500, 10, 60, 500, 0
60, 500, 0, 70, 500, 10, 70, 500, 0
70, 500, 0, 80, 500, 10, 80, 500, 0
80, 500, 0, 90, 500, 10, 90, 500, 0
90, 500, 0, 100, 500, 10, 100, 500, 0
100, 500, 0, 110, 500, 10, 110, 500, 0
110, 500, 0, 120, 500, 10, 120, 500, 0
120, 500, 0, 130, 500, 10, 130, 500, 0
130, 500, 0, 140, 500, 10, 140, 500, 0
140, 500, 0, 150, 500, 10, 150, 500, 0
150, 500, 0, 160, 500, 10, 160, 500, 0
160, 500, 0, 170, 500, 10, 170, 500, 0
170, 500, 0, 180, 500, 10, 180, 500, 0
180, 500, 0, 190, 500, 10, 190, 500, 0
190, 500, 0, 200, 500, 10, 200, 500, 0
200, 500, 0, 210, 500, 10, 210, 500, 0
210, 500, 0, 220, 500, 10, 220, 500, 0
220, 500, 0, 230, 500, 10, 230, 500, 0
230, 500, 0, 240, 500, 10, 240, 500, 0
20, 500, 10, 30, 500, 20, 30, 500, 10
30, 500, 10, 40, 500, 20, 40, 500, 10
40, 500, 10, 50, 500, 20, 50, 500, 10
50, 500, 10, 60, 500, 20, 60, 500, 10
60, 500, 10, 70, 500, 20, 70, 500, 10
70, 500, 10, 80, 500, 20, 80, 500, 10
80, 500, 10, 90, 500, 20, 90, 500, 10
90, 500, 10, 100, 500, 20, 100, 500, 10
100, 500, 10, 110, 500, 20, 110, 500, 10
110, 500, 10, 120, 500, 20, 120, 500, 10
120, 500, 10, 130, 500, 20, 130, 500, 10
130, 500, 10, 140, 500, 20, 140, 500, 10
140, 500, 10, 150, 500, 20, 150, 500, 10
150, 500, 10, 160, 500, 20, 160, 500, 10
160, 500, 10, 170, 500, 20, 170, 500, 10
170, 500, 10, 180, 500, 20, 180, 500, 10
180, 500, 10, 190, 500, 20, 190, 500, 10
190, 500, 10, 200, 500, 20, 200, 500, 10
200, 500, 10, 210, 500, 20, 210, 500, 10
210, 500, 10, 220, 500, 20, 220, 500, 10
220, 500, 10, 230, 500, 20, 230, 500, 10
230, 500, 10, 240, 500, 20, 240, 500, 10
240, 500, 10, 250, 500, 20, 250, 500, 10
30, 500, 20, 40, 500, 30, 40, 500, 20
40, 500, 20, 50, 500, 30, 50, 500, 20
50, 500, 20, 60, 500, 30, 60, 500, 20
60, 500, 20, 70, 500, 30, 70, 500, 20
70, 500, 20, 80, 500, 30, 80, 500, 20
80, 500, 20, 90, 500, 30, 90, 500, 20
90, 500, 20, 100, 500, 30, 100, 500, 20
100, 500, 20, 110, 500, 30, 110, 500, 20
110, 500, 20, 120, 500, 30, 120, 500, 20
120, 500, 20, 130, 500, 30, 130, 500, 20
130, 500, 20, 140, 500, 30, 140, 500, 20
140, 500, 20, 150, 500, 30, 150, 500, 20
150, 500, 20, 160, 500, 30, 160, 500, 20
160, 500, 20, 170, 500, 30, 170, 500, 20
170, 500, 20, 180, 500, 30, 180, 500, 20
180, 500, 20, 190, 500, 30, 190, 500, 20
190, 500, 20, 200, 500, 30, 200, 500, 20
200, 500, 20, 210, 500, 30, 210, 500, 20
